last_name, first_name,year,pitch_hand,n,n_sl_formatted,sl_avg_speed,sl_avg_spin,sl_avg_break_x,sl_avg_break_z,sl_avg_break,sl_range_speed,n_cukc_formatted,cu_avg_speed,cu_avg_spin,cu_avg_break_x,cu_avg_break_z,cu_avg_break,cu_range_speed,
Hartlieb, Geoff,2019,R,650,20.7,85.2,2511,8.8,-36.1,9.3,1.5,,,,,,,,
Sobotka, Chad,2019,R,563,43.1,84.8,2959,11.5,-42.7,12.3,1.7,,,,,,,,
Bashlor, Tyler,2019,R,381,25.7,82.2,2456,4.0,-48.6,8.4,1.3,,,,,,,,
Eshelman, Tom,2019,R,609,21.1,80.8,1853,3.8,-36.6,7.2,1.4,15.1,76.2,1944,4.5,-54.9,8.3,1.4,
Santiago, Hector,2019,L,712,16.1,85.0,2051,-2.8,-33.4,6.6,1.9,4.6,74.6,2003,-6.4,-56.1,8.1,2.1,
Hamels, Cole,2019,L,2394,,,,,,,,12.4,78.0,2040,-6.2,-56.7,12.4,1.5,
Reid-Foley, Sean,2019,R,611,34.0,83.8,2166,5.0,-36.9,5.9,1.2,7.3,81.1,2077,12.6,-47.4,14.2,1.6,
Warren, Adam,2019,R,555,47.2,85.5,2226,5.7,-33.9,7.3,1.2,4.1,78.8,2104,8.3,-57.3,14.8,1.4,
Eovaldi, Nathan,2019,R,1264,3.1,84.9,2237,7.3,-38.1,8.5,1.6,17.4,80.5,2174,7.8,-51.9,11.8,1.6,
Senzatela, Antonio,2019,R,2237,19.4,84.3,2136,5.6,-38.8,6.1,1.7,10.6,78.8,2214,5.7,-49.7,7.9,1.7,
Means, John,2019,L,2680,14.1,83.6,2324,-4.6,-33.4,8,1.7,6.1,77.0,2239,-3.8,-51.9,6.3,2.1,
Minaya, Juan,2019,R,476,8.8,84.4,2194,2.7,-36.4,3.7,1.4,8.4,83.6,2263,4.4,-40.0,4.7,1.4,
Syndergaard, Noah,2019,R,3092,15.2,89.1,2178,3.7,-34.3,4.6,1.8,9.4,80.4,2275,11.9,-46.1,12.7,1.8,
Pomeranz, Drew,2019,L,1942,,,,,,,,31.9,81.2,2283,-3.5,-59.5,15.7,1.9,
Holland, Greg,2019,R,598,43.4,84.3,2070,4.7,-38.9,5.1,1.7,9.1,77.5,2297,4.8,-56.7,11,1.6,
Quantrill, Cal,2019,R,1779,21.5,86.4,2346,3.0,-35.2,4.2,1.4,3.8,79.5,2326,3.2,-48.6,5.8,2,
Duffy, Danny,2019,L,2161,26.3,84.0,2310,-3.1,-37.6,5.1,1.9,9.0,76.1,2346,-8.6,-63.2,17.9,1.6,
Kingham, Nick,2019,R,1027,1.2,82.0,2355,5.9,-43.0,6.1,1.4,19.2,80.1,2373,9.0,-55.2,14.4,1.5,
Duffey, Tyler,2019,R,978,37.4,83.6,2550,5.0,-50.7,12.4,2.3,8.0,75.9,2385,9.8,-62.1,16.8,2.2,
Sheffield, Justus,2019,L,673,35.6,84.2,2475,-4.4,-40.8,5.1,1.3,0.1,79.4,2404,-5.6,-48.1,5.9,,
Barraclough, Kyle,2019,R,708,14.6,82.5,2403,8.9,-38.1,9.7,1.1,7.4,80.2,2412,9.2,-48.0,10.4,1.3,
Junis, Jakob,2019,R,2923,29.6,82.4,2522,14.7,-43.3,15.1,1.3,14.0,79.3,2421,15.3,-48.6,15.9,1.2,
